Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Chhattisgarh, 31-03-2020, Monthly, 7.31, 6894808.00, 44.98,Rural
Chhattisgarh, 30-04-2020, Monthly, 0.00, 6534321.00, 39.43,Rural
Chhattisgarh, 31-05-2020, Monthly, 7.64, 5454091.00, 35.56,Rural
Chhattisgarh, 30-06-2020, Monthly, 10.14, 5781095.00, 38.66,Rural
Delhi, 31-05-2019, Monthly, 12.56, 169487.00, 42.33,Rural
Delhi, 30-06-2019, Monthly, 9.33, 149076.00, 35.74,Rural
Delhi, 31-07-2019, Monthly, 11.07, 166605.00, 40.53,Rural
Delhi, 31-08-2019, Monthly, 17.18, 135407.00, 35.21,Rural
Delhi, 30-09-2019, Monthly, 12.50, 166056.00, 40.68,Rural
Delhi, 31-10-2019, Monthly, 15.84, 149511.00, 37.90,Rural
Delhi, 30-11-2019, Monthly, 11.11, 178768.00, 42.71,Rural
Delhi, 31-12-2019, Monthly, 16.97, 145671.00, 37.08,Rural
Delhi, 31-01-2020, Monthly, 13.48, 157791.00, 38.36,Rural
Delhi, 29-02-2020, Monthly, 13.81, 147500.00, 35.84,Rural
Delhi, 31-03-2020, Monthly, 15.18, 152413.00, 37.45,Rural
Delhi, 30-04-2020, Monthly, 20.69, 115487.00, 30.21,Rural
Delhi, 31-05-2020, Monthly, 22.76, 129610.00, 34.65,Rural
Delhi, 30-06-2020, Monthly, 21.14, 112108.00, 29.22,Rural
Goa, 31-05-2019, Monthly, 2.91, 179340.00, 39.16,Rural
Goa, 30-06-2019, Monthly, 5.45, 170471.00, 38.19,Rural
Goa, 31-07-2019, Monthly, 10.98, 167437.00, 39.81,Rural
Goa, 31-08-2019, Monthly, 1.98, 183603.00, 39.61,Rural
Goa, 30-09-2019, Monthly, 3.61, 163215.00, 35.78,Rural
Goa, 31-10-2019, Monthly, 7.21, 177440.00, 40.36,Rural
Goa, 30-11-2019, Monthly, 23.71, 159489.00, 44.09,Rural
Goa, 31-12-2019, Monthly, 3.54, 177155.00, 38.70,Rural
Goa, 31-01-2020, Monthly, 5.38, 158936.00, 35.36,Rural
Goa, 29-02-2020, Monthly, 0.00, 171672.00, 36.11,Rural
Goa, 30-04-2020, Monthly, 15.91, 181657.00, 45.36,Rural
Goa, 31-05-2020, Monthly, 20.00, 128538.00, 33.71,Rural
Gujarati, 31-05-2019, Monthly, 2.88, 13954728.00, 52.03,Rural
Gujarati, 30-06-2019, Monthly, 4.77, 13199281.00, 50.12,Rural
Gujarati, 31-07-2019, Monthly, 4.58, 14327083.00, 54.21,Rural
Gujarati, 31-08-2019, Monthly, 3.70, 13507342.00, 50.57,Rural
Gujarati, 30-09-2019, Monthly, 6.29, 13280783.00, 51.01,Rural
Gujarati, 31-10-2019, Monthly, 4.91, 13828512.00, 52.27,Rural
Gujarati, 30-11-2019, Monthly, 4.68, 14487815.00, 54.55,Rural
Gujarati, 31-12-2019, Monthly, 3.46, 13877825.00, 51.51,Rural
Gujarati, 31-01-2020, Monthly, 5.35, 14301844.00, 54.07,Rural
Gujarati, 29-02-2020, Monthly, 6.64, 13973042.00, 53.48,Rural
Gujarati, 31-03-2020, Monthly, 7.59, 13483615.00, 52.06,Rural
Gujarati, 30-04-2020, Monthly, 12.00, 8587594.00, 34.77,Rural
Gujarati, 31-05-2020, Monthly, 14.58, 11121124.00, 46.31,Rural
Gujarati, 30-06-2020, Monthly, 1.41, 13243922.00, 47.72,Rural
Haryana, 31-05-2019, Monthly, 14.54, 5249186.00, 45.12,Rural
Haryana, 30-06-2019, Monthly, 23.08, 4745178.00, 45.23,Rural
Haryana, 31-07-2019, Monthly, 16.22, 4826560.00, 42.17,Rural
Haryana, 31-08-2019, Monthly, 30.94, 4558306.00, 48.23,Rural
Haryana, 30-09-2019, Monthly, 16.36, 5127956.00, 44.72,Rural
Haryana, 31-10-2019, Monthly, 24.17, 4798833.00, 46.07,Rural
Haryana, 30-11-2019, Monthly, 16.59, 4875763.00, 42.48,Rural
Haryana, 31-12-2019, Monthly, 29.56, 4603484.00, 47.40,Rural
Haryana, 31-01-2020, Monthly, 16.21, 5062293.00, 43.74,Rural
Haryana, 29-02-2020, Monthly, 27.19, 4570108.00, 45.37,Rural
Haryana, 31-03-2020, Monthly, 23.92, 4366148.00, 41.40,Rural
Haryana, 30-04-2020, Monthly, 41.61, 4041050.00, 49.85,Rural
Haryana, 31-05-2020, Monthly, 34.22, 3914193.00, 42.78,Rural
Haryana, 30-06-2020, Monthly, 35.57, 4357835.00, 48.53,Rural
Himachal Pradesh, 31-05-2019, Monthly, 13.68, 2045760.00, 44.23,Rural
Himachal Pradesh, 30-06-2019, Monthly, 11.43, 1957081.00, 41.18,Rural
Himachal Pradesh, 31-07-2019, Monthly, 20.59, 1916824.00, 44.91,Rural
Himachal Pradesh, 31-08-2019, Monthly, 18.56, 1969248.00, 44.91,Rural
Himachal Pradesh, 30-09-2019, Monthly, 15.98, 2039804.00, 45.02,Rural
Himachal Pradesh, 31-10-2019, Monthly, 15.81, 1946957.00, 42.81,Rural
Himachal Pradesh, 30-11-2019, Monthly, 22.86, 2024409.00, 48.50,Rural
Himachal Pradesh, 31-12-2019, Monthly, 19.46, 1922821.00, 44.05,Rural
Himachal Pradesh, 31-01-2020, Monthly, 16.67, 2041035.00, 45.11,Rural
Himachal Pradesh, 29-02-2020, Monthly, 15.42, 1952464.00, 42.45,Rural
Himachal Pradesh, 31-03-2020, Monthly, 17.71, 1800426.00, 40.17,Rural
Himachal Pradesh, 30-04-2020, Monthly, 2.13, 984171.00, 18.43,Rural
Himachal Pradesh, 31-05-2020, Monthly, 25.64, 1732050.00, 42.62,Rural
Himachal Pradesh, 30-06-2020, Monthly, 1.12, 2230075.00, 41.20,Rural
Jammu & Kashmir, 31-05-2019, Monthly, 12.78, 2495186.00, 40.57,Rural
Jammu & Kashmir, 30-06-2019, Monthly, 12.09, 2423742.00, 39.02,Rural
Jammu & Kashmir, 31-07-2019, Monthly, 13.67, 2549316.00, 41.71,Rural
Jammu & Kashmir, 31-08-2019, Monthly, 11.32, 2778624.00, 44.17,Rural
Jammu & Kashmir, 31-10-2019, Monthly, 19.27, 2477621.00, 43.08,Rural
Jammu & Kashmir, 30-11-2019, Monthly, 14.73, 2415724.00, 39.69,Rural
Jammu & Kashmir, 31-01-2020, Monthly, 22.19, 2373488.00, 42.56,Rural
Jammu & Kashmir, 29-02-2020, Monthly, 21.23, 2163397.00, 38.25,Rural
Jammu & Kashmir, 31-03-2020, Monthly, 16.00, 2361004.00, 39.06,Rural
Jammu & Kashmir, 31-05-2020, Monthly, 2.22, 2716966.00, 38.46,Rural
Jammu & Kashmir, 30-06-2020, Monthly, 18.97, 2049617.00, 34.94,Rural
Jharkhand, 31-05-2019, Monthly, 7.11, 7035766.00, 39.04,Rural
Jharkhand, 30-06-2019, Monthly, 8.46, 7319782.00, 41.12,Rural
Jharkhand, 31-07-2019, Monthly, 9.98, 6958404.00, 39.66,Rural
Jharkhand, 31-08-2019, Monthly, 12.06, 7015356.00, 40.83,Rural
Jharkhand, 30-09-2019, Monthly, 7.12, 7500122.00, 41.24,Rural
Jharkhand, 31-10-2019, Monthly, 6.57, 7761243.00, 42.33,Rural
Jharkhand, 30-11-2019, Monthly, 8.07, 7279628.00, 40.26,Rural
Jharkhand, 31-12-2019, Monthly, 15.15, 6873437.00, 41.09,Rural
Jharkhand, 31-01-2020, Monthly, 6.16, 7868736.00, 42.43,Rural
Jharkhand, 29-02-2020, Monthly, 9.06, 7932402.00, 44.05,Rural
Jharkhand, 31-03-2020, Monthly, 5.01, 7157454.00, 37.96,Rural
Jharkhand, 30-04-2020, Monthly, 41.72, 4280434.00, 36.92,Rural
Jharkhand, 31-05-2020, Monthly, 55.10, 3315038.00, 37.03,Rural
Jharkhand, 30-06-2020, Monthly, 21.53, 6375114.00, 40.65,Rural
Karnataka, 31-05-2019, Monthly, 5.46, 13911440.00, 46.36,Rural
Karnataka, 30-06-2019, Monthly, 5.98, 12888490.00, 43.12,Rural
Karnataka, 31-07-2019, Monthly, 0.52, 12169808.00, 38.42,Rural
Karnataka, 31-08-2019, Monthly, 0.37, 12686470.00, 39.93,Rural
Karnataka, 30-09-2019, Monthly, 3.20, 13741892.00, 44.45,Rural
Karnataka, 31-10-2019, Monthly, 7.13, 12803527.00, 43.10,Rural
Karnataka, 30-11-2019, Monthly, 1.19, 11537217.00, 36.45,Rural
Karnataka, 31-12-2019, Monthly, 0.41, 12756132.00, 39.92,Rural
Karnataka, 31-01-2020, Monthly, 2.57, 13938874.00, 44.52,Rural
Karnataka, 29-02-2020, Monthly, 4.11, 12753657.00, 41.33,Rural
Karnataka, 31-03-2020, Monthly, 2.39, 12853818.00, 40.85,Rural
Karnataka, 30-04-2020, Monthly, 33.17, 9330400.00, 43.25,Rural
Karnataka, 31-05-2020, Monthly, 23.72, 10626328.00, 43.09,Rural
Karnataka, 30-06-2020, Monthly, 10.92, 15396213.00, 53.37,Rural
Kerala, 31-05-2019, Monthly, 6.63, 5184355.00, 38.07,Rural
Kerala, 30-06-2019, Monthly, 9.00, 5605627.00, 42.19,Rural
Kerala, 31-07-2019, Monthly, 4.95, 4855393.00, 34.96,Rural
Kerala, 31-08-2019, Monthly, 10.32, 5233449.00, 39.90,Rural
Kerala, 30-09-2019, Monthly, 5.35, 5400499.00, 38.97,Rural
Kerala, 31-10-2019, Monthly, 9.14, 5328825.00, 40.02,Rural
Kerala, 30-11-2019, Monthly, 5.00, 4557906.00, 32.71,Rural
Kerala, 31-12-2019, Monthly, 10.77, 5065804.00, 38.67,Rural
Kerala, 31-01-2020, Monthly, 4.11, 5307026.00, 37.66,Rural
Kerala, 29-02-2020, Monthly, 8.91, 5203579.00, 38.84,Rural
Kerala, 31-03-2020, Monthly, 8.85, 4141953.00, 30.87,Rural
Kerala, 30-04-2020, Monthly, 10.71, 1754170.00, 13.33,Rural
Kerala, 31-05-2020, Monthly, 23.38, 3799919.00, 33.62,Rural
Kerala, 30-06-2020, Monthly, 27.66, 3952088.00, 37.01,Rural
